"identificaor","titol","autor","anynaixement","anypublicacio","editorial","numpagines"
"255","El señor de los anillos","J.R.R. Tolkien","1890","1950","Minotauro","1392"
"256","El juego de Ender","Orson Scott Card","1951","1977","Ediciones B","509"
"257","Lazarillo de Tormes","Anónimo","N.C","1554","Clásicos Populares","150"
"258","Las uvas de la ira","John Steinbeck","1902","1939","Alianza","619"
"259","Watchmen","Alan Moore","1953","1980","ECC","416"
"260","La hoguera de las vanidades","Tom Wolfe","1930","1980","Anagrama","636"
"261","La familia de Pascual Duarte","Camilo José Cela","1916","1942","Destino","165"
"262","El señor de las moscas","William Golding","1911","1972","Alianza","236"
"263","La ciudad de los prodigios","Eduardo Mendoza","1943","1986","Seix Barral","541"
"264","Ensayo sobre la ceguera","José Saramago","1922","1995","Santillana","439"
"265","Los surcos del azar","Paco Roca","1969","2013","Astiberri","349"
"266","Ghosts of Spain","Giles Tremlett","1962","2006","Faber & Faber","468"
"267","Sidi","Arturo Pérez Reverte","1951","2019","Penguin","369"
"268","Dune","Frank Herbert","1920","1965","Acervo","741"
